"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Yang Y.; Wen J.; Li Y.","Yang, Yongliang (57195397951); Wen, Jing (58296099000); Li, Yi (57211510888)","57195397951; 58296099000; 57211510888","The impact of environmental information disclosure on the cost of debt: evidence from China","2024","Journal of Applied Economics","27","1","2301280","","","9","10.1080/15140326.2023.2301280","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182148292&doi=10.1080%2F15140326.2023.2301280&partnerID=40&md5=929245c41ea30113698f0391a48b2182","School of Economics and Management, Zhejiang Sci-Tech University, Hangzhou, China; Silk and Fashion Culture Research Center of Zhejiang Province, Zhejiang Sci-Tech University, Hangzhou, China; Green and low-carbon technology and industrialization of modern logistics, Zhejiang Engineering Research Center, Wenzhou, China; School of Urban and Regional Science, East China Normal University, Shanghai, China; Fashion Department/DongHai Academy/Collaborative Innovation Center of Port Economy, Ningbo University, Ningbo, China; Tsinghua University, Younger Group Postdoctoral Workstation, Tsinghua University, Beijing, China","Yang Y., School of Economics and Management, Zhejiang Sci-Tech University, Hangzhou, China, Silk and Fashion Culture Research Center of Zhejiang Province, Zhejiang Sci-Tech University, Hangzhou, China, Green and low-carbon technology and industrialization of modern logistics, Zhejiang Engineering Research Center, Wenzhou, China; Wen J., School of Urban and Regional Science, East China Normal University, Shanghai, China; Li Y., Fashion Department/DongHai Academy/Collaborative Innovation Center of Port Economy, Ningbo University, Ningbo, China, Tsinghua University, Younger Group Postdoctoral Workstation, Tsinghua University, Beijing, China","With the growing attention being paid to environmental issues by the public, environmental information disclosure (EID) has become a vital means for firms to convey their social responsibility and an important information source for lending institutions to assess firm credit risk. Based on the data of listed companies in China, a two-way fixed effects model is applied in this study to determine the impact of EID on the cost of debt. It reveals that EID can decrease companies’ cost of debt and that both CEO duality and ownership concentration play vital roles in this relationship. After the consideration of endogeneity problems and robustness testing, the conclusions remain valid. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","corporate social responsibility; Environmental information disclosure; policy evaluation; the cost of debt","","Y. Yang; School of Economics and Management, Zhejiang Sci-Tech University, Hangzhou, No. 928, 2nd Street, Qiantang District, Zhejiang Province, 310018, China; email: royyang@zstu.edu.cn","","Taylor and Francis Ltd.","15140326","","","","English","J. Appl. Econ.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85182148292"
"Jung J.; Herbohn K.; Clarkson P.","Jung, Juhyun (57202849069); Herbohn, Kathleen (6507484969); Clarkson, Peter (7103180312)","57202849069; 6507484969; 7103180312","Carbon Risk, Carbon Risk Awareness and the Cost of Debt Financing","2018","Journal of Business Ethics","150","4","","1151","1171","573","10.1007/s10551-016-3207-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049603984&doi=10.1007%2Fs10551-016-3207-6&partnerID=40&md5=49efc30501440cada7339c5f25ba0aac","UQ Business School, The University of Queensland, Brisbane, Australia; Beedie School of Business, Simon Fraser University, Burnaby, Canada","Jung J., UQ Business School, The University of Queensland, Brisbane, Australia; Herbohn K., UQ Business School, The University of Queensland, Brisbane, Australia; Clarkson P., UQ Business School, The University of Queensland, Brisbane, Australia, Beedie School of Business, Simon Fraser University, Burnaby, Canada","We seek insights into potential benefits for firms adopting strategies to improve business sustainability in a carbon-constrained future. We investigate whether lenders incorporate a firm’s exposure to carbon-related risk into lending decisions through the cost of financing, and if so, importantly whether firms can mitigate the penalty by demonstrating an awareness of their carbon risks. We use a sample of 255 firm-year observations from eight industries over the period 2009–2013. We measure carbon-related risk exposure as the firm’s historical carbon emissions and our primary measure of carbon risk awareness is based on the firm’s willingness to respond to the Carbon Disclosure Project (CDP) survey. We document a positive association between cost of debt and carbon risk for firms failing to respond to the CDP. Further, this association is economically meaningful, with a one standard deviation increase in carbon risk mapping into between a 38 and 62 basis point increase in the cost of debt. Equally, we find that this penalty is effectively negated for firms exhibiting carbon risk awareness. Our results are robust when we consider alternate measures of carbon awareness—disclosure through alternative medium to the CDP and firms’ annual cash investment in new capital assets using “cleaner” technology. Our results highlight not only the importance of carbon awareness as a business strategy for polluting firms, but also its importance to lenders exposed to their clients’ default and reputational risk. The debt market appears to incorporate historical carbon emissions and forward-looking indicators of carbon performance. © 2016, Springer Science+Business Media Dordrecht.","Carbon awareness; Carbon emissions; CDP; Cost of debt; Cost of debt","","K. Herbohn; UQ Business School, The University of Queensland, Brisbane, Australia; email: k.herbohn@business.edu.au","","Springer Netherlands","01674544","","","","English","J. Bus. Ethics","Article","Final","","Scopus","2-s2.0-85049603984"
"Castro P.; Gutiérrez-López C.; Guerrero-Calderón J.; Amor-Tapia B.","Castro, Paula (56893205800); Gutiérrez-López, Cristina (56114221500); Guerrero-Calderón, Juan (59993837800); Amor-Tapia, Borja (57194046361)","56893205800; 56114221500; 59993837800; 57194046361","Behind the green mirage: Financial damages of greenwashing and the role of board environmental orientation","2025","Green Finance","7","4","","717","747","0","10.3934/GF.2025027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027398986&doi=10.3934%2FGF.2025027&partnerID=40&md5=9cc73430b8871dd0ddbabf0e6ef8b97d","Department of Business Management and Economics, Universidad de León, Facultad de Ciencias Económicas y Empresariales, Campus de Vegazana, León, 24071, Spain","Castro P., Department of Business Management and Economics, Universidad de León, Facultad de Ciencias Económicas y Empresariales, Campus de Vegazana, León, 24071, Spain; Gutiérrez-López C., Department of Business Management and Economics, Universidad de León, Facultad de Ciencias Económicas y Empresariales, Campus de Vegazana, León, 24071, Spain; Guerrero-Calderón J., Department of Business Management and Economics, Universidad de León, Facultad de Ciencias Económicas y Empresariales, Campus de Vegazana, León, 24071, Spain; Amor-Tapia B., Department of Business Management and Economics, Universidad de León, Facultad de Ciencias Económicas y Empresariales, Campus de Vegazana, León, 24071, Spain","Greenwashing is a legitimation firm strategy that responds to the increasing demand for environmental engagement. In this study, we examined its impact on firms' financial soundness from creditor and investor viewpoints, exploring the interplay between sustainability spin and economic resilience, and considering the moderating role of ""Board Environmental Orientation"". Using a sample of 1,276 listed European firms over 2002-2022, we showed that high levels of greenwashing worsen firms' financial soundness by increasing the cost of debt and the credit risk. However, firms with highly environmentally-oriented boards may be perceived as more reliable and more likely to implement effective environmental practices, mitigating the negative effect of greenwashing on their financial soundness. Our findings underscored the financial advantages of proactive environmental management and revealed how credible sustainability governance structures, particularly at the board level, can buffer against reputational and financial risks associated with greenwashing. By highlighting this moderating role, we contribute to a better understanding of how firms can maintain financial resilience while navigating increasingly demanding sustainability expectations. The validity of results is supported by several robustness tests: We performed linear regressions with instrumental variables and incorporate a range of well-established, theoretically grounded indicators of credit risk. © 2025 the Author(s).","board environmental orientation; cost of debt; distance to default, Z-score; financial soundness; Greenwashing","","P. Castro; Department of Business Management and Economics, Universidad de León, Facultad de Ciencias Económicas y Empresariales, León, Campus de Vegazana, 24071, Spain; email: paula.castro@unileon.es","","American Institute of Mathematical Sciences","26431092","","","","English","Green.  Financ.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105027398986"
"Boccaletti S.; Gucciardi G.; Ruberti M.","Boccaletti, Simone (57221591135); Gucciardi, Gianluca (56539857500); Ruberti, Massimo (57203743982)","57221591135; 56539857500; 57203743982","Environmental sectoral classification and ESG signals: Evidence on the cost of debt from the EU Taxonomy","2026","Research in International Business and Finance","83","","103267","","","0","10.1016/j.ribaf.2025.103267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026593930&doi=10.1016%2Fj.ribaf.2025.103267&partnerID=40&md5=c98dda353f66564508cd710f2d7b9083","Università Cattolica del Sacro Cuore, Dipartimento di Scienze Economiche e Sociali (DISES), IT, Piacenza, Italy; Università del Piemonte Orientale, Dipartimento di Studi per l’Economia e l’Impresa (DISEI), IT, Novara, Italy; Università degli Studi di Milano-Bicocca Dipartimento di Economia, Metodi quantitativi e Strategie d’impresa (DEMS), IT, Milano, Italy","Boccaletti S., Università Cattolica del Sacro Cuore, Dipartimento di Scienze Economiche e Sociali (DISES), IT, Piacenza, Italy; Gucciardi G., Università del Piemonte Orientale, Dipartimento di Studi per l’Economia e l’Impresa (DISEI), IT, Novara, Italy; Ruberti M., Università degli Studi di Milano-Bicocca Dipartimento di Economia, Metodi quantitativi e Strategie d’impresa (DEMS), IT, Milano, Italy","This study examines how sector-level environmental classifications and firm-level ESG performance jointly influence firms’ financing conditions. While ESG scores capture the sustainability profile of individual firms, the EU Taxonomy provides a credible framework to classify the environmental sustainability of entire economic sectors. Using a sample of 770 European companies between 2007 and 2022, we document that companies operating in environmentally sustainable sectors according to the EU Taxonomy enjoy lower debt costs regardless of their individual environmental performance, proxied by ESG scores. Conversely, firms in the other sectors experience lower debt cost only when they achieve higher environmental scores. These findings highlight the complementary roles of sectoral classification and firm-level signals in influencing creditors’ assessment of environmental risk, and underscore the importance for firms in less sustainable sectors to credibly signal their environmental commitment to improve access to debt finance. © 2026 The Authors.","Cost of Debt; ESG ratings; EU Taxonomy; Sustainable Finance; Sustainable Regulation","","M. Ruberti; Università degli Studi di Milano-Bicocca Dipartimento di Economia, Metodi quantitativi e Strategie d’impresa (DEMS), Milano, IT, Italy; email: massimo.ruberti@unimib.it","","Elsevier Ltd","02755319","","","","English","Res. Int. Bus. Financ.","Article","Final","","Scopus","2-s2.0-105026593930"
"Xie H.; Lv X.","Xie, Hongjun (57217092227); Lv, Xue (60169778200)","57217092227; 60169778200","Responsible International Investment: ESG and OFDI in China","2025","China Finance and Economic Review","14","3","","3","22","3","10.1515/cfer-2025-0013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020926208&doi=10.1515%2Fcfer-2025-0013&partnerID=40&md5=e30fd24b53f4b25ba7faef0b17efa9b3","School of International Trade and Economics, University of International Business and Economics, Beijing, China; School of International Trade and Economics, Shandong University of Finance and Economics, Shandong, China","Xie H., School of International Trade and Economics, University of International Business and Economics, Beijing, China; Lv X., School of International Trade and Economics, Shandong University of Finance and Economics, Shandong, China","In response to the growing trend of sustainable development in various countries, the specific advantages driving outward foreign direct investment (OFDI) by multinational corporations have undergone significant changes. The emphasis on environmental, social, and governance (ESG) factors and the ESG advantages they create may become a new competitive edge for OFDI. This paper explores the impact and mechanisms of ESG advantages on Chinese enterprises’ OFDI, using data from A-share listed companies between 2009 and 2019. The study finds that ESG advantages can significantly and steadily enhance the likelihood and scale of listed companies’ overseas investments. The investment promotion effect of ESG is mainly evident in greenfield investments and is slightly more pronounced in non-state-owned enterprises. Mechanism analysis shows that ESG advantages can reduce the capital costs (mainly debt costs) of cross-border investments internally, easing financing constraints. Moreover, when confronted with host countries with different ESG levels, multinational corporations with ESG advantages can flexibly leverage social and governance advantages and overcome the disadvantages caused by environmental factors, thereby enhancing corporate OFDI activities. This paper may be the first to confirm the positive impact of corporate ESG advantages on OFDI, revealing the growing importance of responsible enterprises in building a higher-level open economy system at the micro level. It also provides important insights for promoting the image of responsible enterprises and great power globally and realizing the concept of a community with a shared future of humanity. © 2025 Hongjun Xie, Xue Lv, published by De Gruyter.","cost of capital; ESG; financing constraints; foreign direct investment; liability of foreignness; sustainable development","","H. Xie; School of International Trade and Economics, University of International Business and Economics; email: xie_hj@qq.com","","Walter de Gruyter GmbH","20954638","","","","English","Chi. Financ. Econ. Rev.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105020926208"
"Wang Y.; Zhang Z.; Du Z.","Wang, Yao (57208804214); Zhang, Ziyao (60378727400); Du, Zhili (56841067600)","57208804214; 60378727400; 56841067600","The spillovers of ESG performance on peers' debt financing costs: evidence from China","2026","Environmental Impact Assessment Review","119","","108390","","","0","10.1016/j.eiar.2026.108390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029768696&doi=10.1016%2Fj.eiar.2026.108390&partnerID=40&md5=13bd38cbe80d039612687cd7cf7dfe76","School of Finance, Yunnan University of Finance and Economics, China; School of Management, China Institute for Studies in Energy Policy, Xiamen University, Fujian, Xiamen, 361005, China","Wang Y., School of Finance, Yunnan University of Finance and Economics, China; Zhang Z., School of Finance, Yunnan University of Finance and Economics, China; Du Z., School of Management, China Institute for Studies in Energy Policy, Xiamen University, Fujian, Xiamen, 361005, China","Amidst the uncertainties of global economy and relentless march of climate change, companies with strong ESG profiles are increasingly drawing the eye of investors. This shift has elevated ESG to a crucial factor in how capital is distributed. Simultaneously, the impact of ESG is no longer confined to individual firms; it is likely to extend to other enterprises within the same industry, giving rise to the spillover effect discussed in this paper. Employing China's A-share listed companies from 2010 to 2023, this paper explores the spillover effect that high ESG performance exerts on the debt financing costs of peer firms in the same industry. The study obtains interesting findings with practical significance. Firstly, the debt financing costs of peer firms have decreased by 10.58%, which is impacted by the high ratings of the first batch of enterprises to receive ESG ratings from institutions. This spillover effect mainly works through the credit attractiveness of the industry and learning mechanism in peer firms. Secondly, some spillover effects are limited by the constrained impact of a firm's ESG performance on its financing, while others face obstacles in the transmission pathways to peer firms. This paper identifies these differentiated constrains. Finally, the diversity of ESG ratings by third-party agencies can enhance the peer spillovers by enhancing information and inhibiting rent seeking. This study expands the research perspectives incorporating ESG and offers empirical evidence to improve enterprises financing efficiency and industry synergy. © 2026","Cost of debt financing; ESG; Rating diversity; Spillover effects","China; Investments; Cost of debt financing; Debt financing; ESG; Global economies; Learning mechanism; Performance; Rating diversity; Spillover effects; Third parties; Uncertainty; capital market; debt crisis; industrial policy; spillover effect; study perspective; Costs","Z. Du; School of Management, China Institute for Studies in Energy Policy, Xiamen University, Xiamen, Fujian, 361005, China; email: duzhili620@xmu.edu.cn","","Elsevier Inc.","01959255","","EIARD","","English","Environ. Impact Assess. Rev.","Article","Final","","Scopus","2-s2.0-105029768696"
"Wang B.; Wang Z.; Wen J.; Zhang X.T.","Wang, Bo (57836592100); Wang, Zehui (57218110068); Wen, Jun (57260332700); Zhang, Xiaotian Tina (57212045896)","57836592100; 57218110068; 57260332700; 57212045896","Executive gender and firm environmental management: Evidence from CFO transitions","2021","Sustainability (Switzerland)","13","7","3653","","","14","10.3390/su13073653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103856912&doi=10.3390%2Fsu13073653&partnerID=40&md5=e1b0c9fb66f80b121dfdca32c25f84be","Stuart School of Business, Illinois Institute of Technology, Chicago, 60661, IL, United States; Software College of Northeastern University, Shenyang, 110169, China; School of Economics and Finance, Xi’an Jiaotong University, Xi’an, 710049, China; Department of Finance, School of Economics and Business Administration, Saint Mary’s College of California, Moraga, 94556, CA, United States","Wang B., Stuart School of Business, Illinois Institute of Technology, Chicago, 60661, IL, United States; Wang Z., Software College of Northeastern University, Shenyang, 110169, China; Wen J., School of Economics and Finance, Xi’an Jiaotong University, Xi’an, 710049, China; Zhang X.T., Department of Finance, School of Economics and Business Administration, Saint Mary’s College of California, Moraga, 94556, CA, United States","We investigate whether female executives influence corporate environmental management (green management). Based on a difference-in-difference approach, our study provides evidence that female CFOs conduct more environmentally responsible activities, and the effects are more prominent when firms are of high risks. Female CFOs are more likely to involve in environmental management voluntarily. Further, environmental management improves firm performance such as debt cost saving. This research advances the gender diversity literature and suggests that female executives play an important role in corporate decisions and firm performance. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","CFO; Corporate social responsibilities; Environmental management; Executive gender; Female; Firm performance; Green management","corporate strategy; debt; decision analysis; environmental management; firm size; gender","X.T. Zhang; Department of Finance, School of Economics and Business Administration, Saint Mary’s College of California, Moraga, 94556, United States; email: xz4@stmarys-ca.edu","","MDPI AG","20711050","","","","English","Sustainability","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85103856912"
"Fiorillo P.; Meles A.; Ricciardi A.; Verdoliva V.","Fiorillo, Paolo (57412159300); Meles, Antonio (56419990400); Ricciardi, Antonio (21735318200); Verdoliva, Vincenzo (55629885300)","57412159300; 56419990400; 21735318200; 55629885300","ESG performance and the cost of debt. Evidence from the corporate bond market","2025","International Review of Financial Analysis","102","","104097","","","21","10.1016/j.irfa.2025.104097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000546145&doi=10.1016%2Fj.irfa.2025.104097&partnerID=40&md5=28b67654b7d32d576fddc0247e7cb682","Catholic University of the Sacred Heart, Department of Economics and Social Sciences, Via Emilia Parmense, 84, PC, Piacenza, 29122, Italy; University of Campania “Luigi Vanvitelli”, Department of Economics, Corso Gran Priorato di Malta, CE, Capua, 81043, Italy; University of Calabria, Department of Management and Law, Via P. Bucci, 3/C, CS, Arcavacata di Rende, 87036, Italy; University of Naples Parthenope, Department of Management and Quantitative Studies, Via G. Parisi, 13, NA, Napoli, 80132, Italy","Fiorillo P., Catholic University of the Sacred Heart, Department of Economics and Social Sciences, Via Emilia Parmense, 84, PC, Piacenza, 29122, Italy; Meles A., University of Campania “Luigi Vanvitelli”, Department of Economics, Corso Gran Priorato di Malta, CE, Capua, 81043, Italy; Ricciardi A., University of Calabria, Department of Management and Law, Via P. Bucci, 3/C, CS, Arcavacata di Rende, 87036, Italy; Verdoliva V., University of Naples Parthenope, Department of Management and Quantitative Studies, Via G. Parisi, 13, NA, Napoli, 80132, Italy","We study the impact of ESG performance on the cost of debt in the primary corporate bond market. Using an international sample of 25,234 bonds from 2677 ESG-rated issuers, we analyse yield spreads between bonds from high- and low-ESG-rated issuers, finding lower yields (by about 10 bps) for high-ESG firms. Our results are robust to additional tests, including controls for endogeneity, and are mainly explained by the environmental and social pillars. We also find that this result is driven by more developed financial markets, likely affected by lower information frictions, and by countries where bankruptcy rules guarantee higher protection for bondholders, making them more willing to grant ESG premia. Finally, we observe lower yield spreads for bond issues that occurred after the introduction of the SFDR, highlighting the importance of regulations promoting socially responsible investments. Overall, our results suggest that firms can benefit from superior ESG performance in the form of lower borrowing costs in the corporate bond market. © 2025 The Authors","Bond yields; Corporate bond market; ESG performance; Socially responsible investments","","P. Fiorillo; Catholic University of the Sacred Heart, Department of Economics and Social Sciences, Piacenza, Via Emilia Parmense, 84, PC, 29122, Italy; email: paolo.fiorillo@unicatt.it","","Elsevier Inc.","10575219","","","","English","Int. Rev. Financ. Anal.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-86000546145"
"de Carvalho P.L.; da Martins O.S.; Callado A.L.C.; de Junior A.D.C.","de Carvalho, Patrícia Lacerda (57193750641); da Martins, Orleans Silva (60400386100); Callado, Aldo Leonardo Cunha (56310232600); de Junior, Antonio Deusany Carvalho (60400658000)","57193750641; 60400386100; 56310232600; 60400658000","Evidence on environmental, social and governance practices associated with the cost of capital of companies in the capital markets in G20 countries; [EVIDÊNCIAS SOBRE PRÁTICAS AMBIENTAIS, SOCIAIS E DE GOVERNANÇA ASSOCIADAS AO CUSTO DE CAPITAL NO MERCADO DE CAPITAIS NOS PAÍSES DO G20]; [Evidencia sobre prácticas ambientales, sociales y de gobernanza asociadas con el costo de capital de las empresas en los mercados de capitales de los países del G20]","2024","RAE Revista de Administracao de Empresas","65","1","","","","2","10.1590/S0034-759020250108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030238503&doi=10.1590%2FS0034-759020250108&partnerID=40&md5=e7bb3600887ed8b804b0ae5cd318505a","Universidade Federal da Paraíba, Departamento de Administração, PB,, João Pessoa, Brazil; Insper, Departamento de Engenharia da Computação, SP, São Paulo, Brazil","de Carvalho P.L., Universidade Federal da Paraíba, Departamento de Administração, PB,, João Pessoa, Brazil; da Martins O.S., Universidade Federal da Paraíba, Departamento de Administração, PB,, João Pessoa, Brazil; Callado A.L.C., Universidade Federal da Paraíba, Departamento de Administração, PB,, João Pessoa, Brazil; de Junior A.D.C., Insper, Departamento de Engenharia da Computação, SP, São Paulo, Brazil","This study examines the relationship between environmental, social, and governance (ESG) practices and the costs of equity and debt capital in 19 G20 countries, excluding the European Union. Using panel data from 3,651 companies between 2005 and 2021, the ESG scores from Refinitiv (ESG performance) and Bloomberg (ESG disclosure) were applied. The results show a negative and significant relationship between ESG practices and companies’ cost of capital, suggesting that engagement in ESG activities lowers financing costs. Additionally, there is no perfect correlation between ESG performance and ESG disclosure scores, indicating that these metrics capture distinct aspects of corporate sustainability. This study highlights the strategic importance of ESG practices in influencing the cost of capital and emphasizes the need to use distinct metrics to assess the different dimensions of corporate sustainability. © 2025, Fundacao Getulio Vargas. All rights reserved.","cost of capital; cost of debt; cost of equity; ESG; G20","","P.L. de Carvalho; Universidade Federal da Paraíba, Departamento de Administração, João Pessoa, PB,, Brazil; email: patricialacerdac@gmail.com","","Fundacao Getulio Vargas","00347590","","","","English","RAE Rev. Adm. Empresas","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030238503"
"Billio M.; Costola M.; Hristova I.; Latino C.; Pelizzon L.","Billio, Monica (55904339600); Costola, Michele (56705512500); Hristova, Iva (57225942597); Latino, Carmelo (57225932131); Pelizzon, Loriana (7801521733)","55904339600; 56705512500; 57225942597; 57225932131; 7801521733","Sustainable Finance: A Journey Toward ESG and Climate Risk","2024","International Review of Environmental and Resource Economics","18","1-2","","1","75","12","10.1561/101.00000156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189895293&doi=10.1561%2F101.00000156&partnerID=40&md5=2f8585817823dd714436f90e534ee58f","Ca’ Foscari University of Venice, Venice, Italy; Leibniz Institute for Financial Research SAFE, Frankfurt, Germany","Billio M., Ca’ Foscari University of Venice, Venice, Italy; Costola M., Ca’ Foscari University of Venice, Venice, Italy; Hristova I., Ca’ Foscari University of Venice, Venice, Italy; Latino C., Leibniz Institute for Financial Research SAFE, Frankfurt, Germany; Pelizzon L., Ca’ Foscari University of Venice, Venice, Italy, Leibniz Institute for Financial Research SAFE, Frankfurt, Germany","Environmental, social, and governance (ESG) factors have gained significant attention and are now a common practice in corporate risk assessment. Nevertheless, the absence of universally accepted standards for measuring ESG risk and impact, along with the difficulty of identifying the materiality of ESG aspects, makes assessing ESG ratings challenging. This paper aims to review the state-of-the-art literature on studies that describe and evaluate ESG rating methodologies and the impact of ESG factors on credit risk, debt and equity costs, and sovereign bonds. We also expand on the topic of ESG research by including a literature strand that focuses on the impact of climate change on financial stability. The reviewed studies suggest that positive ESG ratings are associated with an improvement in credit ratings, a reduction in credit default swap spreads, and a decrease in the costs of equity capital and debt. Finally, we consider the literature discussing the currently predominant sustainable investment (SI) strategies (negative screening and divestment) and their real limited effectiveness, but also suggesting several potential solutions for more appropriate SI strategies, a clearer standardized definition of climate change risk, a better alignment between private profit and social welfare and mostly an ESG focus on outcomes rather than on activities. With regard to the relationship between climate change and credit risk, the literature agrees on the need for adequate scoreboards and an improved disclosure process to address the problem of insufficient data availability and data quality. © 2024 M. Billio et al.","credit risk; debt cost; Environmental, social and governance factors (ESG); equity cost; portfolio management; sovereign bonds","","","","Now Publishers Inc","19321465","","","","English","Int. Rev. Environ. Resour. Econ.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85189895293"
"Agnese P.; Giacomini E.","Agnese, Paolo (57219387952); Giacomini, Emanuela (55134073200)","57219387952; 55134073200","Bank's funding costs: Do ESG factors really matter?","2023","Finance Research Letters","51","","103437","","","68","10.1016/j.frl.2022.103437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140908904&doi=10.1016%2Fj.frl.2022.103437&partnerID=40&md5=48efd60c0d2d7907840ef77d045beb95","Banking and Finance, International Telematic University Uninettuno, Italy; Banking and Finance, University of Macerata, Italy","Agnese P., Banking and Finance, International Telematic University Uninettuno, Italy; Giacomini E., Banking and Finance, University of Macerata, Italy","This study analyzes whether environmental, social and governance (ESG) factors affect the pricing of bank bonds in the primary market. Using a unique dataset of 19,106 fixed-rate senior bonds issued by a sample of 63 EU banks between 2006 and 2021, we find that, ceteris paribus, the cost at issuance is lower for banks with higher ESG scores. Interestingly, the results are not driven by the environmental friendliness of the issuer, but rather by high corporate governance standards and ESG reporting and transparency practices. Our results shed light on the effect of ESG practices on the cost of debt funding in the banking sector, and show a positive role of “sustainable” banking governance practices in reducing the cost of debt financing. © 2022 Elsevier Inc.","Bank bonds; Cost of funding; ESG; Governance","","P. Agnese; Banking and Finance, International Telematic University Uninettuno, Italy; email: paolo.agnese@uninettunouniversity.net","","Elsevier Ltd","15446123","","","","English","Finan. Res. Lett.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85140908904"
"Naidu D.D.","Naidu, Delane D. (57289776200)","57289776200","The impact of environmental, social, and governance disclosure on credit risk: Evidence from South African firms","2026","South African Journal of Economic and Management Sciences","29","1","a6459","","","0","10.4102/sajems.v29i1.6459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029273109&doi=10.4102%2Fsajems.v29i1.6459&partnerID=40&md5=e21922f9eeec9b14cee1644e65eb055e","Department of Finance, Faculty of Finance and Economics, University of the Witwatersrand, Johannesburg, South Africa","Naidu D.D., Department of Finance, Faculty of Finance and Economics, University of the Witwatersrand, Johannesburg, South Africa","Background: Environmental, social, and governance (ESG) disclosure can influence a firm’s credit risk by improving transparency, strengthening risk management, and signalling stability to lenders and rating agencies. In South Africa, where information asymmetry, governance weaknesses, and macroeconomic volatility persist, understanding this relationship is important for promoting financial stability and advancing sustainable investment practices. Aim: This study investigates how ESG disclosure affects three dimensions of credit risk: probability of default (PD), cost of debt (COD), and credit model scores (CMS). It also evaluates whether individual ESG pillars exert distinct effects, thereby identifying which sustainability dimensions are most relevant in the South African context. Setting: The analysis covers 78 non-financial Johannesburg Stock Exchange firms from 2017 to 2023. Method: The study employs baseline ordinary least squares and fixed-effects models, and instrumental-variable two-stage least squares for PD and COD, and ordered probit models, with and without a conditional mixed-process framework, for CMS, allowing treatment of endogeneity. Results: Higher ESG disclosure lowers PD and improves CMS but does not affect COD. Governance drives reductions in PD, while environmental and social pillars strengthen CMS, indicating that ESG components operate through different credit risk channels. Conclusion: Environmental, social, and governance disclosure influences two credit risk measures, highlighting its relevance for credit evaluation in South Africa. Contribution: This study provides the first South African evidence on the ESG-credit risk relationship using different proxies and endogeneity-corrected models. It advances academic debates on ESG in emerging markets and offers practical insights for regulators, lenders, and investors integrating ESG factors into credit-risk evaluation. © 2026. The Author.","cost of debt; credit risk; default risk; ESG disclosure; JSE; probability of default","","D.D. Naidu; Department of Finance, Faculty of Finance and Economics, University of the Witwatersrand, Johannesburg, South Africa; email: delane.naidu@wits.ac.za","","AOSIS (pty) Ltd","10158812","","","","English","S. Afr. J. Econ. Manage Sci.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105029273109"
