Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,Note
Rong X.; Kim M.-I.,"Rong, Xiyu (57808741300); Kim, Myung-In (36008430100)",57808741300; 36008430100,ESG and the Cost of Debt: Role of Media Coverage,2024,Sustainability (Switzerland) ,16,12,4993,,,9,10.3390/su16124993,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197295478&doi=10.3390%2Fsu16124993&partnerID=40&md5=feab42092d1babc52f10fbaa18a1931f,"College of Accounting, Jilin University of Finance and Economics, Changchun, 130117, China; College of Business Administration, Inha University, Incheon, 22212, South Korea","Rong X., College of Accounting, Jilin University of Finance and Economics, Changchun, 130117, China; Kim M.-I., College of Business Administration, Inha University, Incheon, 22212, South Korea","This study delves into the interplay between the Environmental, Social, and Governance (ESG) ratings and the debt costs incurred by Korean-listed companies, highlighting their pivotal significance in today’s corporate ecosystem. Our primary focus is to explore how the extent of media coverage moderates this relationship, thereby shedding light on the pivotal role that public scrutiny plays in shaping a company’s financial outcomes. Utilizing the Ordinary Least Squares (OLS) regression model, we rigorously control for industry and year effects, as well as firm-specific variations. Additionally, we conduct a series of supplementary analyses and robust tests to further strengthen the credibility of our findings. Our empirical analysis reveals that firms with poor ESG ratings, indicating corporate social irresponsibility, incur higher debt costs in the subsequent period. Notably, this adverse financial impact is significantly alleviated for companies that enjoy higher media coverage. This notable discovery underscores the potential of media scrutiny to reduce the financial burden imposed by inadequate ESG performance. Our results suggest that companies, especially those with limited media attention, should prioritize enhancing their ESG performance to mitigate potential financial implications. Overall, our research contributes to a more nuanced understanding of the intersection between corporate social responsibility, media coverage, and financial performance. © 2024 by the authors.",cost of debt; CSR; ESG; media coverage,Korea; corporate strategy; debt; empirical analysis; industrial performance; industrial policy; least squares method; social media,"M.-I. Kim; College of Business Administration, Inha University, Incheon, 22212, South Korea; email: mikim21@inha.ac.kr",,Multidisciplinary Digital Publishing Institute (MDPI),20711050,,,,English,Sustainability,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85197295478,
You X.; Chen C.; Peng K.; Li Y.,"You, Xianghua (58886263200); Chen, Can (58886239300); Peng, Ke (55926899000); Li, Yubin (56954875100)",58886263200; 58886239300; 55926899000; 56954875100,ESG disclosure quality and cost of debt,2025,Emerging Markets Review,64,,101219,,,10,10.1016/j.ememar.2024.101219,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209993918&doi=10.1016%2Fj.ememar.2024.101219&partnerID=40&md5=188462e28c9778992b48741c7b37e82a,"School of Economics and Management, Harbin Institute of Technology, Shenzhen, 518055, China; School of Economics and Management, Chinese University of Hong Kong, Shenzhen, 518055, China","You X., School of Economics and Management, Harbin Institute of Technology, Shenzhen, 518055, China; Chen C., School of Economics and Management, Chinese University of Hong Kong, Shenzhen, 518055, China; Peng K., School of Economics and Management, Harbin Institute of Technology, Shenzhen, 518055, China; Li Y., School of Economics and Management, Harbin Institute of Technology, Shenzhen, 518055, China","This study reveals a negative correlation between the quality of ESG (Environmental, Social, and Governance) disclosure and the cost of debt financing among Chinese listed companies from 2011 to 2020. Furthermore, this relationship is only significant for non-SOE firms, firms in areas with higher marketization level, firms with lower accounting transparency, firms voluntarily publishing social responsibility reports, or firms operating in non-high-pollution industries. These results are robust to a series of tests including two-stage regressions based on instrumental variable and alternative measures of disclosure quality based on textual analyses. © 2024 Elsevier B.V.",Cost of debt; ESG; ESG Disclosure,,"Y. Li; School of Economics and Management, Harbin Institute of Technology, Shenzhen, 518055, China; email: liyubin@hit.edu.cn",,Elsevier B.V.,15660141,,,,English,Emerg. Mark. Rev.,Article,Final,,Scopus,2-s2.0-85209993918,
Feng Z.; Wu Z.,"Feng, Zifeng (57200546256); Wu, Zhonghua (59816867100)",57200546256; 59816867100,"ESG Disclosure, REIT Debt Financing and Firm Value",2023,Journal of Real Estate Finance and Economics,67,3,,388,422,128,10.1007/s11146-021-09857-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113448848&doi=10.1007%2Fs11146-021-09857-x&partnerID=40&md5=4b11ef81c80615fbe24655efe0e94cd9,"Department of Economics and Finance, The University of Texas At El Paso, 500 W. University Ave, El Paso, 79968, TX, United States; Hollo School of Real Estate, Florida International University, 1101 Brickell Ave, Miami, 33131, FL, United States","Feng Z., Department of Economics and Finance, The University of Texas At El Paso, 500 W. University Ave, El Paso, 79968, TX, United States; Wu Z., Hollo School of Real Estate, Florida International University, 1101 Brickell Ave, Miami, 33131, FL, United States","Using recently available GRESB ESG public disclosure data for REITs around the world, we examine how ESG disclosure is related to REIT debt financing and firm value. We find that REITs with higher levels of ESG disclosure have lower cost of debt, higher credit ratings, and higher unsecured debt to total debt ratio, controlling for key firm characteristics. These findings suggest that improving ESG disclosure can help REITs to gain better access to the capital markets and enhance corporate financial flexibility, as lenders have paid close attention to a firm’s ESG disclosure and integrated evaluation of ESG factors into their lending decisions. Moreover, firm value of REITs is positively associated with their ESG disclosure level. When using the Covid-19 pandemic as a quasi-experimental setting, we find evidence that REITs with higher ESG disclosure levels before the pandemic exhibit higher firm value during the pandemic. These results indicate that investors do value active ESG disclosure by REITs. Additional analyses show that ESG disclosure level is sensitive to institutional ownership, implying that institutional investors may drive REIT ESG disclosure efforts. Taken together, this paper suggests that effective ESG disclosure can have a positive impact on REIT debt financing and firm value due to the increased corporate transparency, and the ESG reporting framework developed by GRESB appears to be effective to provide transparency and comparability across the global real estate industry. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Debt financing; ESG disclosure; Financial flexibility; Firm value,,"Z. Wu; Hollo School of Real Estate, Florida International University, Miami, 1101 Brickell Ave, 33131, United States; email: wuz@fiu.edu",,Springer,8955638,,,,English,J. Real Estate Financ. Econ.,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85113448848,
Tron A.; Franceschi L.F.; Colantoni F.; Paolone F.,"Tron, Alberto (56596486300); Franceschi, Luca Francesco (59767724200); Colantoni, Federico (57863221200); Paolone, Francesco (57191258722)",56596486300; 59767724200; 57863221200; 57191258722,ESG Dynamics: Assessing the Link Between Sustainability Practices and the Cost of Capital,2025,Corporate Social Responsibility and Environmental Management,32,4,,5038,5053,8,10.1002/csr.3231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004204482&doi=10.1002%2Fcsr.3231&partnerID=40&md5=adf6aeae89aea150a840fbdf0a7e8249,"Department of Economics, Statistics and Business, Universitas Mercatorum, Rome, Italy; University of Cattolica Sacro-Cuore of Milan, Milan, Italy; SDA Bocconi, Milan, Italy","Tron A., Department of Economics, Statistics and Business, Universitas Mercatorum, Rome, Italy; Franceschi L.F., University of Cattolica Sacro-Cuore of Milan, Milan, Italy; Colantoni F., SDA Bocconi, Milan, Italy; Paolone F., Department of Economics, Statistics and Business, Universitas Mercatorum, Rome, Italy","This paper investigates the relationships between environmental, social, and governance performance and the cost of capital in the European context. Using data from 489 publicly listed companies in the STOXX Europe 600 index over an 8-year period (2015–2022), comprising 3317 firm-year observations, we analyze variations in this relationship over time. Our findings indicate that companies with strong ESG performance tend to enjoy lower costs of debt, reflecting favorable borrowing conditions perceived by debt financiers. Conversely, we observe a positive relationship between ESG performance and the cost of equity, suggesting higher expected returns for equity investors due to perceived long-term risk. Furthermore, temporal analysis reveals that the relationship between ESG performance and the cost of capital became more pronounced from 2020 to 2022, potentially driven by heightened attention to sustainability practices and regulatory interventions. This study contributes to the theoretical understanding of the evolving role of sustainability in financial markets and its implications for corporate finance decisions. © 2025 ERP Environment and John Wiley & Sons Ltd.",cost of capital; cost of debt; cost of equity; ESG; WACC,,"F. Paolone; Department of Economics, Statistics and Business, Universitas Mercatorum, Rome, Italy; email: francesco.paolone@unimercatorum.it",,John Wiley and Sons Ltd,15353958,,,,English,Corp. Soc. Responsib. Environ. Manage.,Article,Final,,Scopus,2-s2.0-105004204482,
Wong R.; Nguyen H.T.M.; Kwansa N.A.,"Wong, Ricky (57194033543); Nguyen, Hoang Thi My (58960662500); Kwansa, Nana Abena (57219230647)",57194033543; 58960662500; 57219230647,ESG performance and cost of capital: what do we know? Evidence from the US,2024,International Journal of Monetary Economics and Finance,17,1,,74,96,4,10.1504/IJMEF.2024.137548,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188888376&doi=10.1504%2FIJMEF.2024.137548&partnerID=40&md5=23483bc30e76be56154e5d821046dd17,"Edinburgh Business School, School of Social Sciences, Heriot-Watt University, Putrajaya, 62200, Malaysia; Edinburgh Business School, School of Social Sciences, Heriot-Watt University, Edinburgh, EH14 4AS, United Kingdom","Wong R., Edinburgh Business School, School of Social Sciences, Heriot-Watt University, Putrajaya, 62200, Malaysia; Nguyen H.T.M., Edinburgh Business School, School of Social Sciences, Heriot-Watt University, Edinburgh, EH14 4AS, United Kingdom; Kwansa N.A., Edinburgh Business School, School of Social Sciences, Heriot-Watt University, Edinburgh, EH14 4AS, United Kingdom","This paper empirically examines the impact of environmental, social and governance (ESG) performance and its individual components on the cost of debt and the cost of equity. Using a sample of S&P 500 firms from 2015 to 2021, we find that strong ESG performance reduces the cost of debt and the cost of equity. Furthermore, our analyses on the individual constituents of the ESG performance indicate that firms with high environmental and social performance benefit from both lower cost of debt and cost of equity with the effect more pronounced for cost of equity. The evidence also indicates that high performance in governance only has implications for equity cost of capital. The evidence supports the position that integrating relevant ESG activities in firm business model has capital raising benefits. © 2024 Inderscience Enterprises Ltd.",capital structure; cost of debt; cost of equity; environmental; social and governance,,"R. Wong; Edinburgh Business School, School of Social Sciences, Heriot-Watt University, Putrajaya, 62200, Malaysia; email: r.wong@hw.ac.uk",,Inderscience Publishers,17520479,,,,English,Int. J. Monet. Econ. Financ.,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85188888376,
Shi Y.; Zheng S.; Xiao P.; Zhen H.; Wu T.,"Shi, Yongdong (56135101100); Zheng, Shijie (57732309000); Xiao, Pengsong (59336401800); Zhen, Hongxian (57198797213); Wu, Tong (59335904200)",56135101100; 57732309000; 59336401800; 57198797213; 59335904200,ESG performance and cost of debt,2024,China Journal of Accounting Research,17,4,100390,,,21,10.1016/j.cjar.2024.100390,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204451939&doi=10.1016%2Fj.cjar.2024.100390&partnerID=40&md5=6d1322c55b13adadfb5ec42bce50dc01,"School of Fintech/School of Finance, Dongbei University of Finance and Economics, Dalian, China; School of Economics and Management, Anhui Normal University, Wuhu, China; Bank of Chengde, Chengde, China; School of Accounting/China Internal Control Research Center, Dongbei University of Finance and Economics, Dalian, China","Shi Y., School of Fintech/School of Finance, Dongbei University of Finance and Economics, Dalian, China; Zheng S., School of Economics and Management, Anhui Normal University, Wuhu, China; Xiao P., Bank of Chengde, Chengde, China; Zhen H., School of Accounting/China Internal Control Research Center, Dongbei University of Finance and Economics, Dalian, China; Wu T., School of Accounting/China Internal Control Research Center, Dongbei University of Finance and Economics, Dalian, China","We analyze China Securities Index Co., Ltd. (CSI) environmental, social and governance (ESG) scoring data, which incorporate Chinese characteristics, to assess the impact of ESG performance on corporate debt financing costs. Our findings indicate that better CSI ESG scores are correlated with lower debt financing costs. Additionally, improvements in local environmental execution enhance the effect of CSI ESG scores on debt financing costs. However, this effect diminishes with increased internal control quality and marketization. Governance has the greatest impact on reducing debt financing costs, followed by social and environmental factors. Superior CSI ESG scores reduce corporate debt financing costs by enhancing debt repayment capacity and reducing information asymmetry. Economic consequence analysis confirms that lower financing costs, driven by improved ESG performance, significantly enhance total factor productivity and firm value. CSI ESG scores also significantly impact bank loans but not corporate bond financing. © 2024",Chinese capital market; CSI ESG performance; Debt financing costs; Sustainable development,,"H. Zhen; Shahekou District, No. 217, Jianshan Street, Dalian, 116025, China; email: zhx223@163.com",,Sun Yat-sen (Zhongshan) University,17553091,,,,English,China J. Account. Res.,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85204451939,
Gidage M.; Bhide S.; Pahurkar R.; Kolte A.,"Gidage, Mithilesh (59178695700); Bhide, Shilpa (57195932907); Pahurkar, Rajesh (57211557307); Kolte, Ashutosh (57204614937)",59178695700; 57195932907; 57211557307; 57204614937,ESG Performance and Systemic Risk Nexus: Role of Firm-Specific Factors in Indian Companies,2024,Journal of Risk and Financial Management,17,9,381,,,26,10.3390/jrfm17090381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205073874&doi=10.3390%2Fjrfm17090381&partnerID=40&md5=78a463dcd52dbfec50ea56065ad0e323,"Department of Management Sciences (PUMBA), Savitribai Phule Pune University, Ganeshkhind, Maharashtra, Pune, 411007, India; Fixed Income Engineering (FIDA), Morningstar Inc., 22 W. Washington St., Chicago, 60602, IL, United States","Gidage M., Department of Management Sciences (PUMBA), Savitribai Phule Pune University, Ganeshkhind, Maharashtra, Pune, 411007, India, Fixed Income Engineering (FIDA), Morningstar Inc., 22 W. Washington St., Chicago, 60602, IL, United States; Bhide S., Department of Management Sciences (PUMBA), Savitribai Phule Pune University, Ganeshkhind, Maharashtra, Pune, 411007, India; Pahurkar R., Department of Management Sciences (PUMBA), Savitribai Phule Pune University, Ganeshkhind, Maharashtra, Pune, 411007, India; Kolte A., Department of Management Sciences (PUMBA), Savitribai Phule Pune University, Ganeshkhind, Maharashtra, Pune, 411007, India","This study investigates the ESG performance–systemic risk (SR) nexus among Indian companies. Using the beta coefficient from the Capital Asset Pricing Model (CAPM) and statistical analysis, it explores how ESG performance affects SR. The findings reveal that firms with higher ESG scores have lower SR sensitivity. Notably, there is a significant difference in risk sensitivity between high- and low-ESG-rated companies, with ESG effects being less pronounced in high-cap firms compared to low-cap firms. Conversely, large firms, older firms, and those with lower borrowing costs show a diminished effect of ESG ratings on their SR sensitivity. These results underscore the importance of firm-specific characteristics in determining the efficacy of ESG strategies in risk mitigation. This study reveals that ESG performance reduces SR, with market valuation affecting this relationship. © 2024 by the authors.",Capital Asset Pricing Model; cost of debt; ESG performance; firm age; firm size; systemic risk; systemic risk sensitivity,,"A. Kolte; Department of Management Sciences (PUMBA), Savitribai Phule Pune University, Pune, Ganeshkhind, Maharashtra, 411007, India; email: ashutoshkolte@gmail.com",,Multidisciplinary Digital Publishing Institute (MDPI),19118074,,,,English,J. Risk. Financ. Manag.,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85205073874,
Zhu N.; Abdullah; Hashmi M.A.; Shah M.H.; Yang J.,"Zhu, Naiping (36987290300); Abdullah (57195228611); Hashmi, Muhammad Arsalan (57201396978); Shah, Muhammad Hashim (57195233306); Yang, JinLan (59112520700)",36987290300; 57195228611; 57201396978; 57195233306; 59112520700,ESG Performance and the Cost of Debt of Chinese Firms: Do Board Idiosyncrasies Matter?,2025,Journal of the Knowledge Economy,16,2,,9684,9714,6,10.1007/s13132-024-02255-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201588851&doi=10.1007%2Fs13132-024-02255-7&partnerID=40&md5=6972091268c46d373bf4dc66961321e8,"School of Finance and Economics, Jiangsu University, No. 301 Xuefu Road, Jiangsu Province, Zhenjiang, China; Institute of Business and Health Management, Dow University of Health Sciences, Karachi, Pakistan; School of Economics & Management, Southwest Jiaotong University, Chengdu, China","Zhu N., School of Finance and Economics, Jiangsu University, No. 301 Xuefu Road, Jiangsu Province, Zhenjiang, China; Abdullah, School of Finance and Economics, Jiangsu University, No. 301 Xuefu Road, Jiangsu Province, Zhenjiang, China; Hashmi M.A., Institute of Business and Health Management, Dow University of Health Sciences, Karachi, Pakistan; Shah M.H., School of Economics & Management, Southwest Jiaotong University, Chengdu, China; Yang J., School of Finance and Economics, Jiangsu University, No. 301 Xuefu Road, Jiangsu Province, Zhenjiang, China","The ESG paradigm has exerted increasing pressure on Chinese firms to adopt environment-friendly and socially responsible policies as part of their governance framework. Despite its importance, limited attention has been given to the relationship between ESG performance and the cost of debt (COD) and whether board traits influence this relationship. Therefore, this study addresses this gap by analyzing the moderating influence of board size and independence on the relationship between ESG performance and the cost of debt using a two-way interaction approach. We also investigate whether board diversity (i.e., age, gender, education, and culture) complements board size and independence in strengthening the negative relationship between ESG performance and COD using the three-way interaction approach. The study employed two-stage least squares and two-step GMM estimation techniques using a sample of Chinese non-financial firms. The two-way interaction results suggest that large and independent boards have a moderating effect and influence the negative relationship between ESG and COD. Furthermore, the three-way interaction results suggest that board diversity complements large and independent boards by strengthening the negative impact of ESG on COD. This effect of board diversity is present when the board of directors possesses age, gender, educational, and cultural diversity. Interestingly, our analysis also indicates that ESG performance is beneficial for both environmentally sensitive and non-sensitive firms but has more profound benefits for environmentally sensitive firms. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Board diversity; Board independence; Board size; Cost of debt; Environmental sensitivity; ESG performance,,"Abdullah; School of Finance and Economics, Jiangsu University, Zhenjiang, No. 301 Xuefu Road, Jiangsu Province, China; email: abdiman.0688@yahoo.com",,Springer,18687865,,,,English,J. Knowl. Econ.,Article,Final,,Scopus,2-s2.0-85201588851,
Fiorillo P.; Meles A.; Ricciardi A.; Verdoliva V.,"Fiorillo, Paolo (57412159300); Meles, Antonio (56419990400); Ricciardi, Antonio (21735318200); Verdoliva, Vincenzo (55629885300)",57412159300; 56419990400; 21735318200; 55629885300,ESG performance and the cost of debt. Evidence from the corporate bond market,2025,International Review of Financial Analysis,102,,104097,,,21,10.1016/j.irfa.2025.104097,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000546145&doi=10.1016%2Fj.irfa.2025.104097&partnerID=40&md5=28b67654b7d32d576fddc0247e7cb682,"Catholic University of the Sacred Heart, Department of Economics and Social Sciences, Via Emilia Parmense, 84, PC, Piacenza, 29122, Italy; University of Campania “Luigi Vanvitelli”, Department of Economics, Corso Gran Priorato di Malta, CE, Capua, 81043, Italy; University of Calabria, Department of Management and Law, Via P. Bucci, 3/C, CS, Arcavacata di Rende, 87036, Italy; University of Naples Parthenope, Department of Management and Quantitative Studies, Via G. Parisi, 13, NA, Napoli, 80132, Italy","Fiorillo P., Catholic University of the Sacred Heart, Department of Economics and Social Sciences, Via Emilia Parmense, 84, PC, Piacenza, 29122, Italy; Meles A., University of Campania “Luigi Vanvitelli”, Department of Economics, Corso Gran Priorato di Malta, CE, Capua, 81043, Italy; Ricciardi A., University of Calabria, Department of Management and Law, Via P. Bucci, 3/C, CS, Arcavacata di Rende, 87036, Italy; Verdoliva V., University of Naples Parthenope, Department of Management and Quantitative Studies, Via G. Parisi, 13, NA, Napoli, 80132, Italy","We study the impact of ESG performance on the cost of debt in the primary corporate bond market. Using an international sample of 25,234 bonds from 2677 ESG-rated issuers, we analyse yield spreads between bonds from high- and low-ESG-rated issuers, finding lower yields (by about 10 bps) for high-ESG firms. Our results are robust to additional tests, including controls for endogeneity, and are mainly explained by the environmental and social pillars. We also find that this result is driven by more developed financial markets, likely affected by lower information frictions, and by countries where bankruptcy rules guarantee higher protection for bondholders, making them more willing to grant ESG premia. Finally, we observe lower yield spreads for bond issues that occurred after the introduction of the SFDR, highlighting the importance of regulations promoting socially responsible investments. Overall, our results suggest that firms can benefit from superior ESG performance in the form of lower borrowing costs in the corporate bond market. © 2025 The Authors",Bond yields; Corporate bond market; ESG performance; Socially responsible investments,,"P. Fiorillo; Catholic University of the Sacred Heart, Department of Economics and Social Sciences, Piacenza, Via Emilia Parmense, 84, PC, 29122, Italy; email: paolo.fiorillo@unicatt.it",,Elsevier Inc.,10575219,,,,English,Int. Rev. Financ. Anal.,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-86000546145,
Yan S.; Choi S.U.; Hwang I.; Jung H.-R.,"Yan, Sibei (57821727400); Choi, Seung Uk (56701183000); Hwang, Iny (24401322600); Jung, Hyung-Rok (55636585600)",57821727400; 56701183000; 24401322600; 55636585600,ESG performance and the cost of debt: exploring the role of internal audit,2025,Applied Economics,57,46,,7381,7401,4,10.1080/00036846.2024.2421458,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209084937&doi=10.1080%2F00036846.2024.2421458&partnerID=40&md5=cdab580dcd37a397732147159a87717a,"Business School, Chengdu University, Chengdu, China; Department of Accounting and Taxation, School of Management, Kyung Hee University, Seoul, South Korea; College of Business Administration, Seoul National University, Seoul, South Korea","Yan S., Business School, Chengdu University, Chengdu, China; Choi S.U., Department of Accounting and Taxation, School of Management, Kyung Hee University, Seoul, South Korea; Hwang I., College of Business Administration, Seoul National University, Seoul, South Korea; Jung H.-R., Department of Accounting and Taxation, School of Management, Kyung Hee University, Seoul, South Korea","This study investigates the effect of Environmental, Social, and Governance (ESG) performance on capital-raising costs in the debt market. The study also examines the role of internal audit organizations in this relationship. The results of the current study show that firms with high ESG performance have lower cost of debt. More importantly, when ESG is classified into sub-factors (E, S, and G), all three are negatively associated with the cost of debt. Next, the current study documents that the presence of an audit committee, the increase in the number of internal audit members, and the higher independence of the internal audit organization incrementally weaken the negative relationship between ESG and the cost of debt. The results remain robust across various additional tests and when endogeneity concerns are mitigated. Overall, these findings suggest the possibility that, as a primary risk assessment function, an independent and large internal audit organization exposes and highlights ESG risks to external credit rating agencies. The findings of this study offer valuable practical insights into how internal audit organizations can effectively assess and contribute to the evaluation of ESG performance. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",audit committee; cost of debt; ESG performance; internal audit organization,capital formation; debt; performance assessment; sustainability,"S.U. Choi; Department of Accounting and Taxation, School of Management, Kyung Hee University, Seoul, 26 Kyungheedae-ro, Dongdaemun-gu, 02447, South Korea; email: suchoi@khu.ac.kr",,Routledge,36846,,,,English,Appl. Econ.,Article,Final,,Scopus,2-s2.0-85209084937,
Termprasertsakul S.; Pantipjatuporn P.; Khruachalee K.,"Termprasertsakul, Santi (57195508441); Pantipjatuporn, Piyapong (60396848000); Khruachalee, Krisada (57226863941)",57195508441; 60396848000; 57226863941,ESG performance as an informational signal: dual effects on the cost of capital and price synchronicity,2026,Cogent Economics and Finance,14,1,2626031,,,0,10.1080/23322039.2026.2626031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030144480&doi=10.1080%2F23322039.2026.2626031&partnerID=40&md5=3226aca05586c49c8c68e6e2f04de558,"Faculty of Business Administration for Society, Srinakharinwirot University, Bangkok, Thailand; Graduate School of Applied Statistics, National Institute of Development Administration, Bangkok, Thailand","Termprasertsakul S., Faculty of Business Administration for Society, Srinakharinwirot University, Bangkok, Thailand; Pantipjatuporn P., Graduate School of Applied Statistics, National Institute of Development Administration, Bangkok, Thailand; Khruachalee K., Faculty of Business Administration for Society, Srinakharinwirot University, Bangkok, Thailand","This study examines how firms’ environmental, social, and governance (ESG) performance jointly affects the cost of capital and stock price synchronicity. Using firm-year data for companies listed on the Stock Exchange of Thailand (2015–2024). Fixed-effects and dynamic system GMM models linking overall and pillar-level ESG scores to the cost of debt, the cost of equity, the weighted average cost of capital, and the extent of firm-specific information in prices are estimated. The results show that stronger ESG performance lowers financing frictions–particularly in debt markets–and reduces synchronicity, indicating improved informational efficiency. A key insight concerns governance. Investors appear to interpret governance practices as broad signals of market credibility rather than as mechanisms that enhance firm-specific transparency, which limits governance’s ability to improve price informativeness. In contrast, the environmental and social pillars are the primary drivers of lower synchronicity. This study contributes to the ESG literature by providing evidence from Thailand that ESG transparency is financially material through both capital cost and information channels, suggesting that managers seeking to enhance price informativeness should prioritize substantive environmental and social disclosures along with formal governance practices. © 2026 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",cost of capital; dynamic panel regression; ESG performance; fixed effects; GMM; price synchronicity; Thailand,,"K. Khruachalee; Faculty of Business Administration for Society, Srinakharinwirot University, Bangkok, 114 Sukhumvit 23, Khlong Toei Nuea, Watthana, 10110, Thailand; email: krisadak@g.swu.ac.th",,Cogent OA,23322039,,,,English,Cogent Econ. Finance,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105030144480,
Boccaletti S.; Gucciardi G.,"Boccaletti, Simone (57221591135); Gucciardi, Gianluca (56539857500)",57221591135; 56539857500,"ESG performance, institutional factors, and the cost of debt",2025,Journal of Sustainable Finance and Investment,15,3,,523,551,3,10.1080/20430795.2025.2489386,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002397334&doi=10.1080%2F20430795.2025.2489386&partnerID=40&md5=b9628ea223aaec78ad3685dcf99f6282,"Department of Economics and Social Sciences (DISES), Università Cattolica del Sacro Cuore, Piacenza, Italy; Department of Economics and Business Studies (DISEI), Università del Piemonte Orientale, Novara, Italy","Boccaletti S., Department of Economics and Social Sciences (DISES), Università Cattolica del Sacro Cuore, Piacenza, Italy; Gucciardi G., Department of Economics and Business Studies (DISEI), Università del Piemonte Orientale, Novara, Italy","Institutional factors play a critical role in shaping the relationship between companies’ environmental, social, and governance (ESG) practices and their financial performance. This paper investigates how institutional factors influence the relationship between ESG practices and the cost of debt for non-financial firms globally, focusing on seven dimensions of governance quality and environmental resilience. Findings show that companies with superior ESG ratings operating in countries with high institutional quality benefit from a reduction in their cost of debt. Conversely, firms in countries with lower institutional quality do not experience the same advantage, underscoring the importance of effective governance and environmental resilience in fostering sustainable business practices. Results are robust to tests addressing endogeneity concerns and possible confounding factors, such as the COVID-19 pandemic. These findings provide insights for practitioners, financial institutions, and policymakers, highlighting the need to consider the institutional context when assessing the impact of ESG factors on financial outcomes. © 2025 Informa UK Limited, trading as Taylor & Francis Group.",corporate finance; cost of debt; ESG; institutions; sustainable finance,,"G. Gucciardi; Department of Economics and Business Studies (DISEI), Università del Piemonte Orientale, Novara, Via Perrone 18, 28100, Italy; email: gianluca.gucciardi@uniupo.it",,Taylor and Francis Ltd.,20430795,,,,English,Journal of Sustain.  Finance  Invest.,Article,Final,,Scopus,2-s2.0-105002397334,
